estimator_global_position.lat,estimator_global_position.lon,home_position.lat,home_position.lon,radio_status.rxerrors,radio_status.fix,radio_status.rssi,radio_status.noise,radio_status.remote_noise,sensor_gps.lat,sensor_gps.lon,vehicle_global_position.lat,vehicle_global_position.lon,vehicle_gps_position.lat,vehicle_gps_position.lon
47.32426795003779,38.77565228445718,47.324267955800735,38.77565230164506,7,0,95,68,19,473242677,387756521,47.32426795003779,38.77565228445718,473242677,387756521
47.32426794972153,38.77565228432077,47.324267904548584,38.77565226972195,7,0,97,64,17,473242677,387756521,47.32426794972153,38.77565228432077,473242677,387756521
47.32426790887708,38.775652279350645,47.324267904548584,38.77565226972195,7,0,97,61,18,473242677,387756521,47.3242679521203,38.77565228307013,473242677,387756521
47.32426770858401,38.77565221048014,,,7,0,91,59,23,473242675,387756521,47.32426794124571,38.775652267911035,473242677,387756521
47.32426788844435,38.77565090973502,,,7,0,96,49,16,473242675,387756506,47.324267930368435,38.775652288801005,473242676,387756521
47.32427102406395,38.77564967913517,,,7,0,109,59,17,473242704,387756498,47.32426789661094,38.77565225624369,473242675,387756521
47.32427433665557,38.77564602872728,,,7,0,108,54,18,473242745,387756465,47.32426790887708,38.775652279350645,473242676,387756517
47.32427252855735,38.775646630664006,,,7,0,116,50,20,473242728,387756469,47.324267870100144,38.77565227607321,473242675,387756506
47.324269148479885,38.775645943066515,,,7,0,120,57,19,473242697,387756472,47.32426783274208,38.775652254231915,473242687,387756502
47.324267375350594,38.77563636293168,,,7,0,116,54,17,473242663,387756388,47.32426778001047,38.775652237932896,473242704,387756498
47.324273378692205,38.77561652354298,,,7,0,104,48,19,473242709,387756214,47.3242677499854,38.77565222114358,473242733,387756478
47.32428428326819,38.775591808398595,,,7,0,99,49,17,473242827,387755963,47.32426770858401,38.77565221048014,473242745,387756465
47.324295118690436,38.77556900826644,,,7,0,97,51,19,473242940,387755752,47.32426768783561,38.775652058309106,473242740,387756462
47.32430689685203,38.77554598284811,,,7,0,93,48,18,473243082,387755473,47.324267701990195,38.77565171189727,473242728,387756469
47.32431904187483,38.77552640134902,,,7,0,88,51,18,473243301,387755307,47.324267801144245,38.77565128790985,473242711,387756474
47.324329692881456,38.775510693392285,,,7,0,85,59,18,473243523,387755280,47.324267831704795,38.77565105468217,473242697,387756472
47.32433890408019,38.77549457541027,,,7,0,91,51,22,473243745,387755237,47.32426788844435,38.77565090973502,473242670,387756437
47.32434540962532,38.77547560930895,,,7,0,94,38,19,473244011,387755186,47.32426816906746,38.77565081988435,473242663,387756388
47.32435191354315,38.77545974269736,,,7,0,96,52,18,473244233,387755143,47.32426858980109,38.77565069084908,473242681,387756295
47.324363688663205,38.77544903454299,,,7,0,91,42,17,473244455,387755101,47.32426921187791,38.77565059628089,473242709,387756214
47.324377665263064,38.77544097334655,,,8,0,86,41,22,473244678,387755058,47.324270068706426,38.775650273045876,473242775,387756062
47.32439164708391,38.77543652424185,,,9,0,84,43,19,473244900,387755015,47.32427102406395,38.77564967913517,473242827,387755963
47.3243941607546,38.77543554961827,,,9,0,81,46,17,473245122,387754972,47.32427204141097,38.77564884615279,473242895,387755833
,,,,9,0,78,47,18,473245344,387754930,47.32427303666843,38.775647971152395,473242940,387755752
,,,,9,0,74,62,18,473245566,387754887,47.324273821676975,38.77564714191361,473243010,387755591
,,,,11,0,74,42,20,473245788,387754844,47.32427413993094,38.77564655428024,473243082,387755473
,,,,12,0,75,48,18,473246010,387754801,47.32427433665557,38.77564602872728,473243207,387755343
,,,,14,0,76,51,17,473246099,387754784,47.32427426554267,38.77564579401132,473243301,387755307
,,,,15,0,84,43,18,473246099,387754784,47.3242740079874,38.77564586365095,473243434,387755297
,,,,15,0,78,46,19,473246099,387754784,47.324273640310764,38.7756461150725,473243523,387755280
,,,,15,0,82,40,19,473246099,387754784,47.32427305508011,38.77564634683102,473243656,387755255
,,,,15,0,86,50,18,473246099,387754784,47.32427252855735,38.775646630664006,473243745,387755237
,,,,15,0,84,47,19,473246099,387754784,47.3242720910956,38.77564687766107,473243878,387755212
,,,,15,0,86,40,19,473246099,387754784,47.32427140622308,38.775647126773535,473244011,387755186
,,,,16,0,84,47,19,473246099,387754784,47.324270741221994,38.77564702810725,473244100,387755169
,,,,16,0,84,41,18,473239196,387754647,47.32426999374721,38.77564660946414,473244233,387755143
,,,,16,0,85,39,18,473247592,387750717,47.324269148479885,38.775645943066515,473244322,387755126
,,,,16,0,83,44,16,473247432,387750368,47.32426824122674,38.77564480801044,473244455,387755101
,,,,16,0,85,39,17,473247153,387749905,47.32426755764561,38.77564322301313,473244544,387755083
,,,,16,0,81,43,19,473247111,387749431,47.32426718532689,38.77564124636545,473244678,387755058
,,,,16,0,75,44,19,473246738,387749821,47.324267134561666,38.775639018100144,473244766,387755041
,,,,17,0,74,53,19,473247060,387749235,47.324267375350594,38.77563636293168,473244900,387755015
,,,,17,0,69,37,19,473247312,387748698,47.32426788640248,38.77563330543784,473244988,387754998
,,,,18,0,67,45,19,473247465,387748294,47.32426864461599,38.77562991625534,473245122,387754972
,,,,18,0,67,47,19,473247616,387747925,47.32426962177376,38.775626016944955,473245211,387754955
,,,,19,0,62,59,19,473247768,387747653,47.32427122304553,38.77562155871441,473245344,387754930
,,,,19,0,55,48,19,473247730,387747480,47.324273378692205,38.77561652354298,473245433,387754912
,,,,20,0,52,54,0,473247752,387747279,47.32427563344933,38.7756115698923,473245566,387754887
,,,,20,0,55,49,0,473247788,387747140,47.32427796574524,38.775606813331976,473245655,387754870
,,,,20,0,57,54,0,473247799,387747041,47.32428008205623,38.775601640336816,473245788,387754844
,,,,20,0,61,45,0,473247778,387747001,47.324282201627284,38.77559664201155,473245877,387754827
,,,,23,0,64,59,0,473247680,387746970,47.32428428326819,38.775591808398595,473246010,387754801
,,,,24,0,65,49,0,473247670,387746878,47.324286505919,38.775587136929246,473246099,387754784
,,,,24,0,66,50,0,473247632,387746947,47.32428879114253,38.77558274034536,473246099,387754784
,,,,26,0,65,54,0,473247577,387747096,47.324290811526794,38.77557813344851,473246099,387754784
,,,,27,0,66,49,0,473247545,387747151,47.324292887911845,38.77557361664469,473246099,387754784
,,,,27,0,63,49,18,473247452,387747101,47.324295118690436,38.77556900826644,473246099,387754784
,,,,29,0,63,51,18,473247443,387747057,47.32429738911843,38.77556434978307,473246099,387754784
,,,,30,0,65,48,18,473247430,387747066,47.324299737368,38.77555951671103,473246099,387754784
,,,,30,0,62,43,18,473247429,387747187,47.32430220741136,38.77555451561692,473246099,387754784
,,,,31,0,61,54,18,473247433,387747127,47.32430462548498,38.775549926013255,473246099,387754784
,,,,32,0,59,52,18,473247405,387747164,47.32430689685203,38.77554598284811,473246099,387754784
,,,,32,0,61,50,18,473247355,387747169,47.3243093250976,38.77554185396608,473246099,387754784
,,,,32,0,63,53,18,473247312,387747230,47.32431179644898,38.77553767654785,473246099,387754784
,,,,33,0,56,55,0,473247300,387747412,47.32431431199104,38.775533406878345,473246099,387754784
,,,,33,0,53,46,0,473247237,387747513,47.324316692280654,38.775529758455995,473246099,387754784
,,,,33,0,51,53,0,473247174,387747472,47.32431904187483,38.77552640134902,473246099,387754784
,,,,33,0,51,55,0,473247098,387747478,47.32432127550498,38.77552326318427,473246099,387754784
,,,,33,0,55,54,19,473246988,387747265,47.32432333545936,38.77552051534269,473236583,387756058
,,,,35,0,61,55,19,473246875,387747115,47.324325439604166,38.77551740705079,473239196,387754647
,,,,35,0,62,54,19,473246706,387747091,47.324327553723194,38.775514075286694,473239886,387754210
,,,,36,0,67,45,16,473246635,387747126,47.324329692881456,38.775510693392285,473247592,387750717
,,,,36,0,69,57,20,473246578,387747186,47.3243319131398,38.77550721536218,473247513,387750565
,,,,37,0,70,43,22,473246407,387747253,47.324333945480724,38.7755039271734,473247432,387750368
,,,,38,0,65,54,22,473246216,387747269,47.32433566632845,38.77550093414742,473247272,387750069
,,,,39,0,64,44,22,473246222,387747246,47.32433729502037,38.77549782036417,473247153,387749905
,,,,39,0,59,59,22,473246211,387747294,47.32433890408019,38.77549457541027,473247143,387749623
,,,,40,0,60,50,22,473246164,387747393,47.324340406935306,38.77549092775905,473247111,387749431
,,,,41,0,63,50,23,473246115,387747489,47.32434194290417,38.77548702569969,473246783,387749868
,,,,43,0,62,57,18,473246030,387747487,47.32434316240483,38.775483019825735,473246738,387749821
