estimator_global_position.lat,estimator_global_position.lon,home_position.lat,home_position.lon,radio_status.rxerrors,radio_status.fix,radio_status.rssi,radio_status.noise,radio_status.remote_noise,sensor_gps.lat,sensor_gps.lon,vehicle_global_position.lat,vehicle_global_position.lon,vehicle_gps_position.lat,vehicle_gps_position.lon
47.32425004628416,38.77564729220389,47.324250069919124,38.77564730859228,1,0,104,54,57,473242497,387756472,47.32425004628416,38.77564729220389,473242497,387756472
47.32425004526355,38.77564729292431,47.324249950862004,38.775647252355064,2,0,106,66,32,473242497,387756471,47.32425004526355,38.77564729292431,473242497,387756471
47.32424987727799,38.775647295401036,47.324249950862004,38.775647252355064,3,0,104,66,42,473242496,387756472,47.32425001240231,38.775647281038694,473242497,387756471
47.32424977406935,38.7756472125679,47.324249950862004,38.775647252355064,3,0,108,54,37,473242496,387756470,47.32424998165413,38.77564725542572,473242496,387756472
47.32425000997093,38.7756460208597,,,3,0,106,59,32,473242497,387756459,47.32424995652041,38.77564725396117,473242496,387756471
47.32425205726963,38.7756428735368,,,3,0,117,59,47,473242520,387756438,47.324249917319996,38.775647242029684,473242496,387756470
47.32425359043811,38.775640412460525,,,3,0,121,61,49,473242535,387756413,47.32424987727799,38.775647295401036,473242497,387756464
47.32425412446219,38.77564131345994,,,3,0,120,55,34,473242540,387756416,47.32424983557642,38.77564733271141,473242497,387756459
47.32425582403537,38.775635276190656,,,3,0,116,58,45,473242556,387756383,47.32424979631274,38.775647289414735,473242508,387756450
47.3242585332314,38.775616463896476,,,3,0,97,49,38,473242573,387756211,47.324249797158615,38.77564727560433,473242520,387756438
47.32426543514175,38.77558820856196,,,3,0,101,55,32,473242544,387755973,47.32424979187436,38.77564725137129,473242531,387756420
47.32426286718358,38.775570849362005,,,3,0,93,55,34,473242324,387755613,47.32424977406935,38.7756472125679,473242535,387756413
47.324263493788564,38.77557397970397,,,3,0,95,52,47,473242072,387755231,47.324249795503356,38.775647029605445,473242537,387756410
47.32426703647316,38.7755709009353,,,4,0,89,54,33,473241819,387754849,47.32424983167088,38.775646822557036,473242540,387756416
47.32426791611483,38.77555605017802,,,4,0,85,49,51,473241566,387754466,47.32424991853255,38.77564657387263,473242549,387756413
47.32426036403611,38.775536530799364,,,5,0,85,48,41,473241313,387754084,47.324249991206386,38.77564637490692,473242556,387756383
47.32424506000619,38.77552220148337,,,5,0,81,52,44,473241060,387753701,47.32425000997093,38.7756460208597,473242561,387756292
47.32422660337613,38.775515178392894,,,6,0,82,65,25,473240757,387753242,47.32425014102675,38.77564559880832,473242573,387756211
47.32421337019524,38.77552695237727,,,6,0,84,51,52,473240504,387752860,47.32425039715727,38.77564500186372,473242586,387756074
47.324190496793996,38.775529886945165,,,6,0,85,46,38,473240251,387752477,47.32425080773841,38.77564429727411,473242544,387755973
47.324155838270286,38.77551937908794,,,7,0,83,63,45,473239998,387752095,47.32425144853262,38.77564356481264,473242440,387755775
47.324109819399794,38.77550043598253,,,7,0,79,58,48,473239746,387751712,47.32425205726963,38.7756428735368,473242324,387755613
47.32409866079237,38.77549561212903,,,8,0,75,59,40,473239543,387751406,47.32425254315116,38.775642219309965,473242173,387755384
47.32440985040961,38.77560308291535,,,8,0,79,56,46,473239290,387751024,47.3242529732108,38.77564154562981,473242072,387755231
47.3244098702044,38.77560308910252,,,9,0,74,61,55,473238987,387750565,47.32425322381636,38.77564099155145,473241920,387755002
47.32441067597609,38.77560372746945,,,11,0,74,65,55,473238734,387750182,47.324253419370876,38.7756406070251,473241819,387754849
47.32440999969419,38.775604043177296,,,15,0,74,56,38,473238481,387749800,47.32425359043811,38.775640412460525,473241667,387754619
47.32440985049581,38.775604518660124,,,15,0,77,54,38,473238380,387749647,47.32425362995908,38.77564040481989,473241566,387754466
,,,,16,0,76,57,34,473243098,387755713,47.32425356358746,38.77564049853907,473241414,387754237
,,,,17,0,76,56,41,473243825,387756037,47.32425365439863,38.7756407036032,473241313,387754084
,,,,17,0,76,60,41,473244027,387756050,47.32425388130864,38.775640968827666,473241161,387753854
,,,,18,0,79,56,43,473244093,387756004,47.32425412446219,38.77564131345994,473241060,387753701
,,,,20,0,80,51,43,473244109,387756008,47.32425440800831,38.775641355443135,473240909,387753472
,,,,20,0,79,58,43,473244104,387756007,47.3242547497188,38.775640811658306,473240757,387753242
,,,,20,0,80,55,39,473244112,387756028,47.32425518466549,38.77563952614158,473240656,387753089
,,,,23,0,82,50,46,473244112,387756036,47.32425559286766,38.77563763506516,473240504,387752860
,,,,24,0,80,53,40,473244107,387756043,47.32425582403537,38.775635276190656,473240403,387752707
,,,,25,0,80,57,37,473244102,387756047,47.32425594305058,38.77563254971748,473240251,387752477
,,,,,,,,,473244099,387756051,47.324256263480116,38.775629057533386,473240150,387752324
,,,,,,,,,,,47.32425691436748,38.77562502175963,473239998,387752095
,,,,,,,,,,,47.324257607161826,38.7756209894186,473239897,387751942
,,,,,,,,,,,47.3242585332314,38.775616463896476,473239746,387751712
,,,,,,,,,,,47.32425979146176,38.77561141301895,473239644,387751559
,,,,,,,,,,,47.32426121618036,38.775606038545625,473239543,387751406
,,,,,,,,,,,47.32426274900761,38.7756002661388,473239392,387751177
,,,,,,,,,,,47.324264245354456,38.77559426642943,473239290,387751024
,,,,,,,,,,,47.32426543514175,38.77558820856196,473239139,387750794
,,,,,,,,,,,47.32426603732367,38.77558271390365,473238987,387750565
,,,,,,,,,,,47.32426591874079,38.77557819838327,473238886,387750412
,,,,,,,,,,,47.32426514817734,38.77557479577456,473238734,387750182
,,,,,,,,,,,47.32426396650928,38.775572352593954,473238633,387750029
,,,,,,,,,,,47.32426286718358,38.775570849362005,473238481,387749800
,,,,,,,,,,,47.324262050443735,38.77557028661611,473238380,387749647
,,,,,,,,,,,47.324261976992524,38.775570740081946,473238380,387749647
,,,,,,,,,,,47.32426232412724,38.775571806208994,473241838,387754793
,,,,,,,,,,,47.32426286346212,38.77557300596711,473243098,387755713
,,,,,,,,,,,47.324263493788564,38.77557397970397,473243673,387755970
,,,,,,,,,,,47.324263633803135,38.77557394440282,473243825,387756037
,,,,,,,,,,,47.32426406814794,38.77557364428703,473243967,387756056
,,,,,,,,,,,47.32426481244354,38.77557310101795,473244027,387756050
,,,,,,,,,,,47.32426586884552,38.77557219908291,473244081,387756028
,,,,,,,,,,,47.32426703647316,38.7755709009353,473244093,387756004
,,,,,,,,,,,47.32426760347997,38.7755687739492,473244108,387756008
,,,,,,,,,,,47.32426759690639,38.77556591938404,473244109,387756008
,,,,,,,,,,,47.32426780269568,38.77556296083884,473244100,387756000
,,,,,,,,,,,47.32426820383014,38.77555969681962,473244104,387756007
,,,,,,,,,,,47.32426791611483,38.77555605017802,473244110,387756019
,,,,,,,,,,,47.32426696293785,38.775551664690525,473244112,387756028
,,,,,,,,,,,47.32426576260759,38.77554774589777,473244113,387756034
,,,,,,,,,,,47.324264182396746,38.77554369129832,473244112,387756036
,,,,,,,,,,,47.32426241227811,38.775539931367746,473244109,387756038
,,,,,,,,,,,47.32426036403611,38.775536530799364,473244107,387756043
,,,,,,,,,,,47.32425806614869,38.77553361486101,473244103,387756045
,,,,,,,,,,,47.324255768099526,38.77553122765305,473244102,387756047
,,,,,,,,,,,47.32425291430117,38.775528559120474,473244099,387756050
,,,,,,,,,,,47.324249346875696,38.77552549163815,473244099,387756051
,,,,,,,,,,,47.32424506000619,38.77552220148337,,
,,,,,,,,,,,47.32423988978221,38.775518880812875,,
,,,,,,,,,,,47.32423386413833,38.77551506485613,,
,,,,,,,,,,,47.32423056970016,38.77551384409601,,
,,,,,,,,,,,47.32422852738477,38.77551398023094,,
,,,,,,,,,,,47.32422660337613,38.775515178392894,,
,,,,,,,,,,,47.32422480280457,38.77551687680314,,
,,,,,,,,,,,47.324222375080716,38.7755193756353,,
,,,,,,,,,,,47.3242198012204,38.7755221313294,,
,,,,,,,,,,,47.32421682558057,38.77552479946765,,
,,,,,,,,,,,47.32421337019524,38.77552695237727,,
,,,,,,,,,,,47.32420965780308,38.77552867517236,,
,,,,,,,,,,,47.324205279360065,38.775529646830364,,
,,,,,,,,,,,47.32420031786653,38.77553014689925,,
,,,,,,,,,,,47.32419574644061,38.77553022792366,,
,,,,,,,,,,,47.324190496793996,38.775529886945165,,
,,,,,,,,,,,47.32418453701292,38.77552890789448,,
,,,,,,,,,,,47.324178178089205,38.775527335435086,,
,,,,,,,,,,,47.32417131520391,38.77552515067704,,
,,,,,,,,,,,47.32416395777424,38.77552251072868,,
,,,,,,,,,,,47.324155838270286,38.77551937908794,,
,,,,,,,,,,,47.324147396980614,38.77551605543224,,
,,,,,,,,,,,47.32413833331236,38.775512357387164,,
,,,,,,,,,,,47.324128837357314,38.77550835127774,,
,,,,,,,,,,,47.324119321658856,38.77550439346495,,
