estimator_global_position.lat,estimator_global_position.lon,home_position.lat,home_position.lon,radio_status.rxerrors,radio_status.fix,radio_status.rssi,radio_status.noise,radio_status.remote_noise,sensor_gps.lat,sensor_gps.lon,vehicle_global_position.lat,vehicle_global_position.lon,vehicle_gps_position.lat,vehicle_gps_position.lon
47.324240968475664,38.77561838219166,47.32424099136392,38.775618388331175,0,0,122,51,59,473242407,387756186,47.324240968475664,38.77561838219166,473242407,387756186
47.3242409677776,38.77561838205505,47.3242408349876,38.77561840102498,0,0,118,50,46,473242407,387756186,47.3242409677776,38.77561838205505,473242407,387756186
47.324240852648686,38.77561839016938,47.3242408349876,38.77561840102498,0,0,121,55,52,473242407,387756185,47.32424094048834,38.77561838242969,473242407,387756186
47.3242408896409,38.7756184442475,47.3242408349876,38.77561840102498,0,0,112,56,52,473242407,387756185,47.32424091679977,38.77561839080477,473242407,387756185
47.324240916342255,38.77561828276398,47.3242408349876,38.77561840102498,0,0,100,52,44,473242406,387756182,47.32424090861849,38.775618395577006,473242407,387756184
47.32424268871327,38.77561650219892,,,0,0,104,51,54,473242423,387756171,47.32424087183453,38.775618385187585,473242407,387756185
47.32424509219573,38.77561333212686,,,0,0,111,54,50,473242452,387756143,47.324240852648686,38.77561839016938,473242407,387756183
47.32424508371686,38.775611861933335,,,0,0,115,50,54,473242457,387756124,47.324240830990234,38.775618388665094,473242406,387756182
47.32424471202026,38.77561532496729,,,0,0,130,53,53,473242447,387756145,47.32424084063636,38.775618408961165,473242413,387756180
47.324246555781606,38.775622295691974,,,0,0,142,50,36,473242469,387756227,47.324240848548264,38.77561841145809,473242423,387756171
47.32425070379966,38.775622072531895,,,0,0,126,51,50,473242496,387756223,47.32424086298899,38.77561841815274,473242445,387756157
47.324259829692885,38.77561443109708,,,0,0,107,55,41,473242580,387756151,47.3242408896409,38.7756184442475,473242452,387756143
47.324271694929976,38.775603216410275,,,0,0,115,51,52,473242696,387756055,47.32424087673915,38.77561841455266,473242461,387756125
47.324282097546295,38.77558904875254,,,0,0,114,53,47,473242806,387755922,47.32424087153155,38.775618403753406,473242457,387756124
47.324289356470025,38.77557341633785,,,0,0,130,57,38,473242879,387755778,47.324240897883676,38.77561837900477,473242452,387756130
47.32429336751635,38.77555259026007,,,0,0,131,58,49,473242941,387755571,47.324240915891316,38.775618353713455,473242447,387756145
47.32429541399132,38.77553319688745,,,0,0,129,46,50,473242933,387755377,47.324240916342255,38.77561828276398,473242459,387756198
47.3242964148755,38.77551225263113,,,0,0,117,47,58,473242919,387755183,47.32424105550348,38.77561815108718,473242469,387756227
47.32429649082516,38.77548735426561,,,0,0,110,54,53,473242904,387754988,47.32424140049088,38.77561791919921,473242479,387756234
47.32429560508049,38.775463066508976,,,0,0,111,52,52,473242722,387755080,47.32424183374367,38.775617534637924,473242496,387756223
47.32429612561972,38.7754395436413,,,0,0,110,53,51,473242633,387755025,47.32424225116174,38.77561704206885,473242539,387756185
47.32429725327651,38.77541719701535,,,0,0,108,55,50,473242545,387754971,47.32424268871327,38.77561650219892,473242580,387756151
47.32429885228034,38.77539634680732,,,0,0,101,55,43,473242456,387754916,47.32424325572031,38.77561588250601,473242645,387756095
47.32430192874654,38.775376031281205,,,0,0,93,51,48,473242368,387754861,47.324243882542774,38.7756153104939,473242696,387756055
47.324303992136194,38.775366776967424,,,0,0,90,52,51,473242279,387754807,47.324244543610945,38.77561483801088,473242768,387755980
47.324210625653805,38.77476488822956,,,0,0,88,59,45,473242191,387754752,47.32424494077859,38.77561405969332,473242806,387755922
47.32421063118377,38.77476491474947,,,1,0,87,55,52,473242102,387754697,47.32424509219573,38.77561333212686,473242851,387755839
47.3242101198787,38.77476919510467,,,1,0,91,53,44,473242014,387754642,47.32424521646794,38.77561274142163,473242879,387755778
47.32420838175167,38.77477327673135,,,2,0,84,55,53,473241925,387754588,47.32424537294394,38.775612277975426,473242911,387755653
47.32421050231442,38.77477570924867,,,2,0,89,54,53,473241872,387754555,47.32424545343476,38.77561195133075,473242941,387755571
47.32421182789453,38.774778956560084,,,2,0,96,55,55,473241872,387754555,47.324245285631164,38.77561178684757,473242945,387755455
47.32421381233077,38.774789553189144,,,2,0,98,51,53,473241872,387754555,47.32424508371686,38.775611861933335,473242933,387755377
47.324214578344815,38.774799614123914,,,2,0,93,50,46,473241872,387754555,47.324244938494154,38.77561216107662,473242925,387755260
47.324213102806496,38.77481433416021,,,2,0,97,51,52,473241872,387754555,47.324244660147485,38.77561245293911,473242919,387755183
47.324212516024666,38.77482807820615,,,2,0,97,62,52,473241872,387754555,47.324244482305964,38.77561286365212,473242910,387755066
47.3242086701803,38.77483987039811,,,2,0,84,55,55,473241872,387754555,47.324244490634165,38.7756137465179,473242904,387754988
47.32421517221258,38.77485210629339,,,2,0,101,56,50,473241872,387754555,47.32424471202026,38.77561532496729,473242775,387755113
47.32422909010443,38.774855007196884,,,2,0,103,55,55,473241872,387754555,47.3242451494884,38.77561745389429,473242739,387755091
47.324241879037736,38.7748576508134,,,2,0,106,52,51,473241872,387754555,47.32424560402755,38.775619427953366,473242686,387755058
47.32424732180783,38.77485788637826,,,2,0,101,49,56,473241872,387754555,47.32424585154687,38.77562062065419,473242633,387755025
47.32424437405687,38.77485904540594,,,2,0,99,52,54,473241872,387754555,47.324246119811356,38.775621498667746,473242598,387755004
47.324253038186654,38.77486476935263,,,2,0,88,60,48,473241872,387754555,47.324246555781606,38.775622295691974,473242545,387754971
47.32427723236874,38.77487131884548,,,3,0,81,53,41,473241872,387754555,47.324247102277134,38.775622703758806,473242509,387754949
47.32430385094782,38.77488919191133,,,3,0,80,59,44,473241872,387754555,47.32424770100254,38.77562298744351,473242456,387754916
47.32432023443327,38.774903213855744,,,3,0,81,54,45,473241872,387754555,47.324248483728724,38.7756230191642,473242421,387754894
47.32432868633415,38.77490961539795,,,3,0,82,52,38,473241872,387754555,47.32424940459121,38.77562280792603,473242368,387754861
47.324334987368154,38.77491581356612,,,3,0,88,48,42,473241872,387754555,47.32425070379966,38.775622072531895,473242332,387754839
47.324339724868786,38.7749188892728,,,3,0,81,49,45,473241872,387754555,47.32425199096334,38.775620998169835,473242279,387754807
47.32434472216593,38.77491540460222,,,4,0,80,59,42,473241872,387754555,47.32425356044562,38.77561950925417,473242244,387754785
47.32434902907414,38.77490941025166,,,5,0,75,50,49,473241872,387754555,47.32425541948564,38.77561787263588,473242191,387754752
47.32435298203745,38.7749080538794,,,6,0,75,56,49,473241872,387754555,47.32425754719512,38.77561615678756,473242155,387754730
47.324358052957066,38.7749130862466,,,6,0,76,59,55,473241872,387754555,47.324259829692885,38.77561443109708,473242102,387754697
47.324359911775616,38.7749235116953,,,6,0,84,49,51,473241872,387754555,47.324262008341925,38.77561252838203,473242067,387754675
47.324359165239436,38.77492865325775,,,6,0,76,51,51,473241872,387754555,47.32426429388108,38.77561036201182,473242014,387754642
47.32435596452295,38.77493179526944,,,6,0,74,53,47,473241872,387754555,47.324266797300105,38.77560810587692,473241979,387754621
