estimator_global_position.lat,estimator_global_position.lon,home_position.lat,home_position.lon,radio_status.rxerrors,radio_status.fix,radio_status.rssi,radio_status.noise,radio_status.remote_noise,sensor_gps.lat,sensor_gps.lon,vehicle_global_position.lat,vehicle_global_position.lon,vehicle_gps_position.lat,vehicle_gps_position.lon
47.324251658864526,38.775613863490854,47.324251645668625,38.77561389227145,2,0,100,56,19,473242516,387756136,47.324251658864526,38.775613863490854,473242516,387756136
47.32425165990256,38.77561386205597,47.32425166792302,38.775613745014944,2,0,97,47,20,473242516,387756136,47.32425165990256,38.77561386205597,473242516,387756136
47.32425164346283,38.77561371635366,47.32425166792302,38.775613745014944,2,0,110,63,19,473242515,387756134,47.32425167518607,38.77561383593738,473242516,387756135
47.324251501604806,38.77561358763303,47.32425166792302,38.775613745014944,2,0,105,56,18,473242513,387756133,47.32425167747013,38.775613804382196,473242515,387756134
47.324251765052985,38.77561256754646,47.32425166792302,38.775613745014944,3,0,105,45,18,473242515,387756124,47.32425167595528,38.775613771251656,473242515,387756134
47.32425329776086,38.775609806525225,,,3,0,103,50,18,473242533,387756094,47.32425166882223,38.77561374699301,473242513,387756133
47.3242557524357,38.7756072775384,,,3,0,104,49,20,473242556,387756074,47.32425164560215,38.775613719052934,473242513,387756131
47.32425634426828,38.77560763789688,,,3,0,116,58,17,473242562,387756077,47.32425161940494,38.77561368266788,473242515,387756124
47.32425595803924,38.77561179178859,,,3,0,122,50,20,473242559,387756124,47.32425160656041,38.7756136585246,473242519,387756115
47.324256029889874,38.77560923973081,,,3,0,116,56,17,473242551,387756111,47.32425157961622,38.77561363758531,473242533,387756094
47.32425839114297,38.77559556855159,,,3,0,112,56,18,473242571,387755975,47.32425154938692,38.77561361844131,473242544,387756084
47.32426968351067,38.775570940938394,,,3,0,112,49,18,473242677,387755744,47.324251501604806,38.77561358763303,473242556,387756074
47.32428545151235,38.77552941592364,,,3,0,104,51,18,473242838,387755334,47.32425147238916,38.77561347925029,473242560,387756070
47.3243012655885,38.77548210859216,,,3,0,101,53,19,473242995,387754877,47.32425146123367,38.77561329800009,473242562,387756077
47.32431635159343,38.775431202568456,,,3,0,101,56,17,473243145,387754381,47.32425148175641,38.77561310828198,473242562,387756092
47.32433107060985,38.77537047102765,,,3,0,92,53,19,473243289,387753784,47.32425158511729,38.775612878822706,473242559,387756124
47.32434566861116,38.77530756201254,,,3,0,89,63,19,473243435,387753155,47.324251765052985,38.77561256754646,473242554,387756142
47.32435717756781,38.77526305884616,,,3,0,89,52,18,473243545,387752735,47.32425197657202,38.77561218513587,473242551,387756111
47.32436459312846,38.77523132340901,,,4,0,82,55,19,473243639,387752533,47.32425214475697,38.77561164830745,473242553,387756063
47.324371690557605,38.775204502782785,,,4,0,83,55,19,473243745,387752369,47.32425243915381,38.77561100014218,473242571,387755975
47.324379447280506,38.77517759516919,,,4,0,76,55,17,473243854,387752199,47.324252819084,38.77561041310059,473242602,387755899
47.32438729323305,38.775154060961896,,,5,0,76,55,19,473244111,387752115,47.32425329776086,38.775609806525225,473242677,387755744
47.324394386291935,38.77513241352694,,,6,0,77,52,22,473244294,387751994,47.32425383259515,38.77560923207064,473242744,387755593
47.32440061494709,38.77511306028442,,,7,0,73,54,22,473244476,387751874,47.324254382915285,38.77560868495335,473242838,387755334
47.32440265776652,38.77509997067815,,,9,0,73,58,17,473244658,387751753,47.32425493564122,38.77560811021366,473242898,387755153
47.32440226602186,38.77509238588611,,,9,0,74,62,17,473244841,387751632,47.324255404034396,38.77560757721319,473242995,387754877
