timestamp;vehicle_gps_position.lat;vehicle_gps_position.lon;vehicle_gps_position.alt;vehicle_gps_position.eph;vehicle_gps_position.epv;vehicle_gps_position.hdop;vehicle_gps_position.vdop;vehicle_gps_position.noise_per_ms;vehicle_gps_position.satellites_used;vehicle_air_data.baro_alt_meter;vehicle_local_position.dist_bottom;vehicle_local_position.z
119903563;473242407;387756186;35269;0.9850001;1.1930001;0.58;0.90999997;96;19;31.329983;0.1;0.14991592
119913512;473242407;387756186;35269;0.9850001;1.1930001;0.58;0.90999997;96;19;31.329983;0.1;0.14993577
120003434;473242407;387756186;35269;0.9850001;1.1930001;0.58;0.90999997;96;19;31.456816;0.10046288;0.15047413
120103377;473242407;387756186;35269;0.9850001;1.1930001;0.58;0.90999997;96;19;31.414537;0.1;0.1511823
120203414;473242407;387756186;35275;0.9850001;1.1930001;0.58;0.90999997;96;19;31.581003;0.1;0.1514112
120303136;473242407;387756186;35275;0.9850001;1.1930001;0.58;0.90999997;96;19;31.581003;0.1;0.15138699
120403025;473242407;387756186;35275;0.9850001;1.1930001;0.58;0.90999997;96;19;31.475311;0.1;0.15065846
120503105;473242407;387756186;35275;0.9850001;1.1930001;0.58;0.90999997;96;19;31.475311;0.1;0.14886807
120613118;473242407;387756185;35267;0.98600006;1.1930001;0.58;0.90999997;96;19;31.184656;0.1;0.14685735
120702753;473242407;387756185;35267;0.98600006;1.1930001;0.58;0.90999997;96;19;31.184656;0.1;0.14504233
120812641;473242407;387756185;35267;0.98600006;1.1930001;0.58;0.90999997;96;19;31.414537;0.1;0.14270127
120902670;473242407;387756185;35267;0.98600006;1.1930001;0.58;0.90999997;96;19;31.414537;0.1;0.14196795
121002401;473242407;387756185;35267;0.98600006;1.1930001;0.58;0.90999997;96;19;31.49645;0.1;0.1418158
121102498;473242407;387756184;35268;0.98700005;1.1930001;0.58;0.90999997;96;19;31.49645;0.1;0.1419475
121202460;473242407;387756184;35268;0.98700005;1.1930001;0.58;0.90999997;96;19;31.414537;0.1;0.14138971
121312346;473242407;387756184;35268;0.98700005;1.1930001;0.58;0.90999997;96;19;31.414537;0.1;0.14037944
121402238;473242407;387756184;35268;0.98700005;1.1930001;0.58;0.90999997;96;19;31.351122;0.1;0.13945426
121512029;473242407;387756184;35268;0.98700005;1.1930001;0.58;0.90999997;96;19;31.351122;0.10035515;0.13798743
121602044;473242407;387756185;35271;0.98800004;1.1930001;0.58;0.90999997;96;19;31.393398;0.101273224;0.13706936
121711804;473242407;387756185;35271;0.98800004;1.1930001;0.58;0.90999997;96;19;31.393398;0.102449104;0.13589348
121801822;473242407;387756185;35271;0.98800004;1.1930001;0.58;0.90999997;96;19;31.559864;0.1043627;0.13397989
121911833;473242407;387756185;35271;0.98800004;1.1930001;0.58;0.90999997;96;19;31.559864;0.10720755;0.13113503
122011623;473242407;387756185;35271;0.98800004;1.1930001;0.58;0.90999997;96;19;31.205795;0.10884586;0.12949672
122101544;473242407;387756183;35256;0.989;1.1930001;0.58;0.90999997;97;19;31.205795;0.110287115;0.12805547
122211552;473242407;387756183;35256;0.989;1.1930001;0.58;0.90999997;97;19;31.871658;0.11159727;0.12674531
122301369;473242407;387756183;35256;0.989;1.1930001;0.58;0.90999997;97;19;31.871658;0.11300595;0.12533663
122411186;473242407;387756183;35256;0.989;1.1930001;0.58;0.90999997;97;19;31.559864;0.11748682;0.12085576
122501109;473242407;387756183;35256;0.989;1.1930001;0.58;0.90999997;97;19;31.559864;0.12227138;0.1160712
122611230;473242406;387756182;35255;0.99000007;1.194;0.58;0.90999997;97;19;31.74747;0.12924415;0.10909844
122710957;473242406;387756182;35255;0.99000007;1.194;0.58;0.90999997;97;19;31.74747;0.13456345;0.10377913
122810865;473242406;387756182;35255;0.99000007;1.194;0.58;0.90999997;97;19;31.287704;0.1390551;0.09928747
122910911;473242406;387756182;35255;0.99000007;1.194;0.58;0.90999997;97;19;31.287704;0.14362317;0.09471941
123010743;473242406;387756182;35255;0.99000007;1.194;0.58;0.90999997;97;19;31.22429;0.15000519;0.088337384
123110636;473242413;387756180;35301;0.99100006;1.197;0.58;0.90999997;103;19;31.22429;0.15726452;0.08107807
123200512;473242413;387756180;35301;0.99100006;1.197;0.58;0.90999997;103;19;31.623281;0.16513875;0.073203824
123310502;473242413;387756180;35301;0.99100006;1.197;0.58;0.90999997;103;19;31.623281;0.17918733;0.05915525
123410331;473242413;387756180;35301;0.99100006;1.197;0.58;0.90999997;103;19;31.74747;0.19531536;0.043027215
123510310;473242413;387756180;35301;0.99100006;1.197;0.58;0.90999997;103;19;31.74747;0.21668044;0.021662138
123610313;473242423;387756171;35371;0.99200004;1.2;0.58;0.90999997;103;19;31.559864;0.24000728;-0.0016647042
123710042;473242423;387756171;35371;0.99200004;1.2;0.58;0.90999997;103;19;31.559864;0.26559085;-0.027248254
123810150;473242423;387756171;35371;0.99200004;1.2;0.58;0.90999997;103;19;31.789745;0.2938084;-0.055465806
123910055;473242423;387756171;35371;0.99200004;1.2;0.58;0.90999997;103;19;31.789745;0.33235347;-0.094010904
124009813;473242423;387756171;35371;0.99200004;1.2;0.58;0.90999997;103;19;32.33142;0.38296825;-0.14462566
124109898;473242445;387756157;35747;0.99200004;1.2010001;0.58;0.90999997;103;19;32.33142;0.44227764;-0.20393506
124209784;473242445;387756157;35747;0.99200004;1.2010001;0.58;0.90999997;103;19;31.935074;0.5048878;-0.2665452
124309432;473242445;387756157;35747;0.99200004;1.2010001;0.58;0.90999997;103;19;31.935074;0.5732181;-0.3348755
124409463;473242445;387756157;35747;0.99200004;1.2010001;0.58;0.90999997;103;19;33.22981;0.64963615;-0.41129354
124509522;473242445;387756157;35747;0.99200004;1.2010001;0.58;0.90999997;103;19;33.22981;0.7345148;-0.4961722
124609171;473242452;387756143;36098;0.99300003;1.202;0.58;0.90999997;103;19;32.582443;0.8295892;-0.5912466
124709248;473242452;387756143;36098;0.99300003;1.202;0.58;0.90999997;103;19;32.582443;0.94126433;-0.70292175
124809239;473242452;387756143;36098;0.99300003;1.202;0.58;0.90999997;103;19;32.666996;1.0576165;-0.8192739
124909026;473242452;387756143;36098;0.99300003;1.202;0.58;0.90999997;103;19;32.666996;1.1755588;-0.93721616
125009002;473242452;387756143;36098;0.99300003;1.202;0.58;0.90999997;103;19;33.356644;1.2932973;-1.0549546
125108928;473242461;387756125;36772;0.99700004;1.2080001;0.58;0.90999997;103;19;33.356644;1.4092727;-1.17093
125208751;473242461;387756125;36772;0.99700004;1.2080001;0.58;0.90999997;103;19;33.417416;1.51757;-1.2792274
125308618;473242461;387756125;36772;0.99700004;1.2080001;0.58;0.90999997;103;19;33.417416;1.6140797;-1.3757371
125408617;473242461;387756125;36772;0.99700004;1.2080001;0.58;0.90999997;103;19;33.710712;1.7054987;-1.467156
125508703;473242461;387756125;36772;0.99700004;1.2080001;0.58;0.90999997;103;19;33.710712;1.7927866;-1.554444
125608343;473242457;387756124;37104;0.9990001;1.212;0.58;0.90999997;103;19;33.647297;1.8839982;-1.6456556
125708378;473242457;387756124;37104;0.9990001;1.212;0.58;0.90999997;103;19;33.647297;1.9741483;-1.7358056
125808352;473242457;387756124;37104;0.9990001;1.212;0.58;0.90999997;103;19;33.771484;2.0636199;-1.8252773
125908061;473242457;387756124;37104;0.9990001;1.212;0.58;0.90999997;103;19;33.771484;2.1531029;-1.9147604
126007985;473242457;387756124;37104;0.9990001;1.212;0.58;0.90999997;103;19;33.62616;2.2434533;-2.0051107
126108027;473242452;387756130;37594;0.9990001;1.212;0.58;0.90999997;103;19;33.62616;2.328966;-2.0906234
126207859;473242452;387756130;37594;0.9990001;1.212;0.58;0.90999997;103;19;34.315804;2.4085202;-2.1701777
126307719;473242452;387756130;37594;0.9990001;1.212;0.58;0.90999997;103;19;34.315804;2.4839795;-2.245637
126409183;473242452;387756130;37594;0.9990001;1.212;0.58;0.90999997;103;19;34.273525;2.555471;-2.3171284
126507528;473242452;387756130;37594;0.9990001;1.212;0.58;0.90999997;103;19;34.273525;2.6188545;-2.380512
126619135;473242447;387756145;37793;1.001;1.2160001;0.58;0.90999997;103;19;34.315804;2.678796;-2.4404535
126708907;473242447;387756145;37793;1.001;1.2160001;0.58;0.90999997;103;19;34.315804;2.7186818;-2.4803393
126807330;473242447;387756145;37793;1.001;1.2160001;0.58;0.90999997;103;19;34.149338;2.7566028;-2.5182602
126907368;473242447;387756145;37793;1.001;1.2160001;0.58;0.90999997;103;19;34.149338;2.7856576;-2.5473151
127017178;473242447;387756145;37793;1.001;1.2160001;0.58;0.90999997;103;19;33.98023;2.8094804;-2.571138
127108903;473242459;387756198;37900;1.0040001;1.22;0.58;0.90999997;140;19;33.98023;2.8246675;-2.586325
127206951;473242459;387756198;37900;1.0040001;1.22;0.58;0.90999997;140;19;35.98575;2.8470917;-2.6087492
127316888;473242459;387756198;37900;1.0040001;1.22;0.58;0.90999997;140;19;35.98575;2.8830657;-2.6447232
127408450;473242459;387756198;37900;1.0040001;1.22;0.58;0.90999997;140;19;35.444073;2.9144402;-2.6760976
127506675;473242459;387756198;37900;1.0040001;1.22;0.58;0.90999997;140;19;35.444073;2.9422195;-2.703877
127608160;473242469;387756227;37844;1.0040001;1.2240001;0.58;0.90999997;140;19;35.401794;2.9538515;-2.715509
127708072;473242469;387756227;37844;1.0040001;1.2240001;0.58;0.90999997;140;19;35.401794;2.937557;-2.6992145
127806423;473242469;387756227;37844;1.0040001;1.2240001;0.58;0.90999997;140;19;35.465214;2.9061146;-2.667772
127916363;473242469;387756227;37844;1.0040001;1.2240001;0.58;0.90999997;140;19;35.465214;2.8598387;-2.6214962
128007710;473242469;387756227;37844;1.0040001;1.2240001;0.58;0.90999997;140;19;33.87718;2.8233593;-2.5850167
128106080;473242479;387756234;37174;1.0020001;1.2270001;0.58;0.90999997;130;19;33.87718;2.7822359;-2.5438933
128206157;473242479;387756234;37174;1.0020001;1.2270001;0.58;0.90999997;130;19;33.919456;2.7286613;-2.4903188
128307587;473242479;387756234;37174;1.0020001;1.2270001;0.58;0.90999997;130;19;33.919456;2.6630023;-2.4246597
128405922;473242479;387756234;37174;1.0020001;1.2270001;0.58;0.90999997;130;19;33.063343;2.58756;-2.3492174
128517355;473242479;387756234;37174;1.0020001;1.2270001;0.58;0.90999997;130;19;33.063343;2.4956608;-2.2573183
128615803;473242496;387756223;36691;1.0;1.2270001;0.58;0.90999997;130;19;33.544247;2.399391;-2.1610484
128707246;473242496;387756223;36691;1.0;1.2270001;0.58;0.90999997;130;19;33.544247;2.3059423;-2.0675998
128805515;473242496;387756223;36691;1.0;1.2270001;0.58;0.90999997;130;19;33.58388;2.2075295;-1.969187
128915463;473242496;387756223;36691;1.0;1.2270001;0.58;0.90999997;130;19;33.58388;2.119214;-1.8808714
129015351;473242496;387756223;36691;1.0;1.2270001;0.58;0.90999997;130;19;33.544247;2.0660496;-1.8277069
129105242;473242539;387756185;36378;1.0;1.23;0.58;0.90999997;130;19;33.544247;2.0467143;-1.8083718
129206699;473242539;387756185;36378;1.0;1.23;0.58;0.90999997;130;19;32.540165;2.054772;-1.8164293
