timestamp;vehicle_gps_position.lat;vehicle_gps_position.lon;vehicle_gps_position.alt;vehicle_gps_position.eph;vehicle_gps_position.epv;vehicle_gps_position.hdop;vehicle_gps_position.vdop;vehicle_gps_position.noise_per_ms;vehicle_gps_position.satellites_used;vehicle_air_data.baro_alt_meter;vehicle_local_position.dist_bottom;vehicle_local_position.z
160322153;473242497;387756471;39705;0.82900006;0.99600005;0.56;0.96999997;108;19;28.555548;0.10194558;0.5160071
160332267;473242497;387756471;39705;0.82900006;0.99600005;0.56;0.96999997;108;19;28.555548;0.10202187;0.51582044
160422212;473242497;387756471;39705;0.82900006;0.99600005;0.56;0.96999997;108;19;28.63746;0.10339111;0.5145778
160527010;473242497;387756471;39705;0.82900006;0.99600005;0.56;0.96999997;108;19;28.803925;0.10261577;0.51345855
160626874;473242497;387756471;39696;0.82900006;0.99600005;0.56;0.96999997;108;19;28.867342;0.1;0.51163536
160726882;473242497;387756471;39696;0.82900006;0.99600005;0.56;0.96999997;108;19;28.867342;0.1;0.50916797
160826903;473242497;387756471;39696;0.82900006;0.99600005;0.56;0.96999997;108;19;28.909618;0.1;0.50546634
160926694;473242497;387756471;39696;0.82900006;0.99600005;0.56;0.96999997;108;19;28.909618;0.1;0.50003135
161026487;473242496;387756472;39671;0.82900006;0.99600005;0.56;0.96999997;108;19;29.033808;0.1;0.4938199
161126651;473242496;387756472;39671;0.82900006;0.99600005;0.56;0.96999997;108;19;29.033808;0.10247898;0.4870001
161226546;473242496;387756472;39671;0.82900006;0.99600005;0.56;0.96999997;108;19;28.888481;0.1076636;0.4818155
161326271;473242496;387756472;39671;0.82900006;0.99600005;0.56;0.96999997;108;19;28.888481;0.114179045;0.47530004
161426468;473242496;387756472;39671;0.82900006;0.99600005;0.56;0.96999997;108;19;28.574043;0.12005529;0.4694238
161526362;473242496;387756471;39654;0.82900006;0.99600005;0.56;0.96999997;108;19;28.574043;0.12546182;0.46401727
161626131;473242496;387756471;39654;0.82900006;0.99600005;0.56;0.96999997;108;19;28.888481;0.1290364;0.4604427
161726090;473242496;387756471;39654;0.82900006;0.99600005;0.56;0.96999997;108;19;28.888481;0.13367525;0.45580384
