timestamp;vehicle_gps_position.lat;vehicle_gps_position.lon;vehicle_gps_position.alt;vehicle_gps_position.eph;vehicle_gps_position.epv;vehicle_gps_position.hdop;vehicle_gps_position.vdop;vehicle_gps_position.noise_per_ms;vehicle_gps_position.satellites_used;vehicle_air_data.baro_alt_meter;vehicle_local_position.dist_bottom;vehicle_local_position.z
136581443;473242444;387756164;33644;0.9110001;1.1830001;0.63;0.98999995;104;18;30.579565;0.1;0.3086507
136591440;473242444;387756164;33644;0.9110001;1.1830001;0.63;0.98999995;104;18;30.579565;0.1;0.30891466
136681264;473242444;387756164;33644;0.9110001;1.1830001;0.63;0.98999995;104;18;30.6192;0.1;0.31036633
136781340;473242444;387756164;33644;0.9110001;1.1830001;0.63;0.98999995;104;18;30.558426;0.1;0.31142664
136881094;473242444;387756164;33630;0.9110001;1.1830001;0.63;0.98999995;104;18;30.682615;0.1;0.31226602
136981121;473242444;387756164;33630;0.9110001;1.1830001;0.63;0.98999995;104;18;30.682615;0.1;0.31305534
137080957;473242444;387756164;33630;0.9110001;1.1830001;0.63;0.98999995;104;18;30.600702;0.1;0.31378192
137180836;473242444;387756164;33630;0.9110001;1.1830001;0.63;0.98999995;104;18;30.600702;0.1;0.3144659
137280839;473242445;387756164;33621;0.91200006;1.184;0.63;0.98999995;104;18;30.265127;0.1;0.31504244
137380660;473242445;387756164;33621;0.91200006;1.184;0.63;0.98999995;104;18;30.265127;0.1;0.31573662
137480461;473242445;387756164;33621;0.91200006;1.184;0.63;0.98999995;104;18;30.410456;0.1;0.3162828
137580447;473242445;387756164;33621;0.91200006;1.184;0.63;0.98999995;104;18;30.410456;0.1;0.31691077
137680419;473242445;387756164;33621;0.91200006;1.184;0.63;0.98999995;104;18;30.537287;0.1;0.31723073
137780380;473242444;387756165;33601;0.91200006;1.184;0.63;0.98999995;104;18;30.537287;0.1;0.31736293
137880065;473242444;387756165;33601;0.91200006;1.184;0.63;0.98999995;104;18;30.682615;0.1;0.31766704
137980180;473242444;387756165;33601;0.91200006;1.184;0.63;0.98999995;104;18;30.682615;0.1;0.3180315
138080146;473242444;387756165;33601;0.91200006;1.184;0.63;0.98999995;104;18;30.495008;0.1;0.31848657
138179862;473242444;387756165;33601;0.91200006;1.184;0.63;0.98999995;104;18;30.495008;0.1;0.31898096
138279934;473242444;387756166;33592;0.91300005;1.1860001;0.63;0.98999995;104;18;30.495008;0.1;0.31835043
138379910;473242444;387756166;33592;0.91300005;1.1860001;0.63;0.98999995;104;18;30.6192;0.1;0.31733045
138479742;473242444;387756166;33592;0.91300005;1.1860001;0.63;0.98999995;104;18;30.703754;0.1;0.3156416
138579483;473242444;387756166;33592;0.91300005;1.1860001;0.63;0.98999995;104;18;30.703754;0.100310564;0.31423557
138679559;473242444;387756166;33592;0.91300005;1.1860001;0.63;0.98999995;104;18;30.933636;0.101316124;0.31323
138779321;473242444;387756164;33577;0.91400003;1.187;0.63;0.98999995;104;18;30.933636;0.104515225;0.3100309
138879144;473242444;387756164;33577;0.91400003;1.187;0.63;0.98999995;104;18;30.912497;0.10977924;0.3047669
138979254;473242444;387756164;33577;0.91400003;1.187;0.63;0.98999995;104;18;30.912497;0.11488503;0.2996611
139079091;473242444;387756164;33577;0.91400003;1.187;0.63;0.98999995;104;18;31.49645;0.119479;0.29506713
139179067;473242444;387756164;33577;0.91400003;1.187;0.63;0.98999995;104;18;31.49645;0.12595806;0.28858808
139279065;473242445;387756159;33574;0.915;1.189;0.63;0.98999995;109;18;31.287704;0.13631716;0.27822897
139383743;473242445;387756159;33574;0.915;1.189;0.63;0.98999995;109;18;31.287704;0.15129921;0.26324692
139483649;473242445;387756159;33574;0.915;1.189;0.63;0.98999995;109;18;31.433033;0.16755077;0.24699536
