timestamp;vehicle_gps_position.lat;vehicle_gps_position.lon;vehicle_gps_position.alt;vehicle_gps_position.eph;vehicle_gps_position.epv;vehicle_gps_position.hdop;vehicle_gps_position.vdop;vehicle_gps_position.noise_per_ms;vehicle_gps_position.satellites_used;vehicle_air_data.baro_alt_meter;vehicle_local_position.dist_bottom;vehicle_local_position.z
102358896;473242678;387756325;37550;0.87200004;0.97900003;0.56;0.88;100;19;32.10154;0.10194445;2.358005
102367239;473242678;387756325;37550;0.87200004;0.97900003;0.56;0.88;100;19;32.10154;0.10187125;2.3580503
102457439;473242678;387756325;37550;0.87200004;0.97900003;0.56;0.88;100;19;32.040768;0.102541685;2.3586283
102561869;473242678;387756325;37550;0.87200004;0.97900003;0.56;0.88;100;19;31.935074;0.10136342;2.3594465
102659315;473242678;387756324;37540;0.87200004;0.97800004;0.56;0.88;100;19;32.143818;0.10225916;2.3604717
102767073;473242678;387756324;37540;0.87200004;0.97800004;0.56;0.88;100;19;32.143818;0.100328445;2.3611681
102865849;473242678;387756324;37540;0.87200004;0.97800004;0.56;0.88;100;19;32.39484;0.103131294;2.3633552
102960184;473242678;387756324;37540;0.87200004;0.97800004;0.56;0.88;100;19;32.39484;0.1;2.364341
103068564;473242678;387756323;37547;0.873;0.97800004;0.56;0.88;100;19;32.33142;0.1;2.3641036
103158176;473242678;387756323;37547;0.873;0.97800004;0.56;0.88;100;19;32.33142;0.1;2.363024
103265505;473242678;387756323;37547;0.873;0.97800004;0.56;0.88;100;19;32.01963;0.1;2.3607965
103359890;473242678;387756323;37547;0.873;0.97800004;0.56;0.88;100;19;32.01963;0.1;2.3580751
103463151;473242678;387756323;37547;0.873;0.97800004;0.56;0.88;100;19;31.977352;0.1;2.3549523
103566612;473242678;387756321;37536;0.874;0.98;0.56;0.88;100;19;31.977352;0.1;2.3526063
103665208;473242678;387756321;37536;0.874;0.98;0.56;0.88;100;19;31.892797;0.1;2.3510892
103764398;473242678;387756321;37536;0.874;0.98;0.56;0.88;100;19;31.892797;0.1;2.3496375
103858409;473242678;387756321;37536;0.874;0.98;0.56;0.88;100;19;32.01963;0.1;2.3485196
103962360;473242678;387756321;37536;0.874;0.98;0.56;0.88;100;19;32.01963;0.1;2.3479326
104060459;473242678;387756320;37532;0.874;0.98100007;0.56;0.88;100;19;31.977352;0.100743055;2.346649
104159570;473242678;387756320;37532;0.874;0.98100007;0.56;0.88;100;19;31.977352;0.10152745;2.3458645
104262780;473242678;387756320;37532;0.874;0.98100007;0.56;0.88;100;19;31.89544;0.10272765;2.3446643
104362781;473242678;387756320;37532;0.874;0.98100007;0.56;0.88;100;19;31.89544;0.103710175;2.3436818
104469241;473242678;387756320;37532;0.874;0.98100007;0.56;0.88;100;19;31.832024;0.104184866;2.3432071
104559106;473242677;387756319;37532;0.87600005;0.98300004;0.56;0.88;100;19;31.832024;0.10471797;2.342674
104666765;473242677;387756319;37532;0.87600005;0.98300004;0.56;0.88;100;19;31.998491;0.10583806;2.341554
104766406;473242677;387756319;37532;0.87600005;0.98300004;0.56;0.88;100;19;31.998491;0.10772109;2.339671
104860175;473242677;387756319;37532;0.87600005;0.98300004;0.56;0.88;100;19;32.040768;0.11145234;2.3359396
104958813;473242677;387756319;37532;0.87600005;0.98300004;0.56;0.88;100;19;32.040768;0.11618042;2.3312116
105062168;473242679;387756319;37543;0.87700003;0.984;0.56;0.88;100;19;32.27065;0.12057614;2.3268158
105166985;473242679;387756319;37543;0.87700003;0.984;0.56;0.88;100;19;32.27065;0.124197245;2.3231947
105264265;473242679;387756319;37543;0.87700003;0.984;0.56;0.88;100;19;32.24951;0.1259036;2.3214884
105363114;473242679;387756319;37543;0.87700003;0.984;0.56;0.88;100;19;32.24951;0.12748384;2.3199081
105466601;473242679;387756319;37543;0.87700003;0.984;0.56;0.88;100;19;32.561302;0.12837481;2.3190172
105561290;473242686;387756315;37574;0.87900007;0.98700005;0.56;0.88;100;19;32.561302;0.1296308;2.3177612
105651386;473242686;387756315;37574;0.87900007;0.98700005;0.56;0.88;100;19;32.207233;0.12987757;2.3175144
105762923;473242686;387756315;37574;0.87900007;0.98700005;0.56;0.88;100;19;32.207233;0.1354096;2.3119824
105861756;473242686;387756315;37574;0.87900007;0.98700005;0.56;0.88;100;19;32.186092;0.14712381;2.3002682
105965794;473242686;387756315;37574;0.87900007;0.98700005;0.56;0.88;100;19;32.186092;0.16547799;2.281914
106063643;473242693;387756308;37640;0.88000005;0.98800004;0.56;0.88;100;19;32.415977;0.18800664;2.2593853
