timestamp;vehicle_gps_position.lat;vehicle_gps_position.lon;vehicle_gps_position.alt;vehicle_gps_position.eph;vehicle_gps_position.epv;vehicle_gps_position.hdop;vehicle_gps_position.vdop;vehicle_gps_position.noise_per_ms;vehicle_gps_position.satellites_used;vehicle_air_data.baro_alt_meter;vehicle_local_position.dist_bottom;vehicle_local_position.z
102621180;473242516;387756136;38321;0.87900007;0.93500006;0.61;0.9;114;18;32.918015;0.1;0.07102666
102631006;473242516;387756136;38321;0.87900007;0.93500006;0.61;0.9;114;18;33.02107;0.1;0.0707792
102720926;473242516;387756136;38310;0.87900007;0.93500006;0.61;0.9;114;18;33.02107;0.1;0.068762265
102831040;473242516;387756136;38310;0.87900007;0.93500006;0.61;0.9;114;18;33.063343;0.1;0.06600914
102920934;473242516;387756135;38305;0.88000005;0.93600005;0.61;0.9;114;18;33.1479;0.1;0.06391773
103030834;473242516;387756135;38305;0.88000005;0.93600005;0.61;0.9;114;18;33.1479;0.1;0.060658675
103120519;473242516;387756135;38305;0.88000005;0.93600005;0.61;0.9;114;18;33.084484;0.1;0.05689557
103230578;473242516;387756135;38305;0.88000005;0.93600005;0.61;0.9;114;18;33.084484;0.1;0.052048568
103330517;473242515;387756134;38264;0.88100004;0.93700004;0.61;0.9;114;18;33.335503;0.1;0.04719999
103430465;473242515;387756134;38264;0.88100004;0.93700004;0.61;0.9;114;18;33.335503;0.1;0.04261428
103530266;473242515;387756134;38264;0.88100004;0.93700004;0.61;0.9;114;18;33.22981;0.1;0.037118815
103620367;473242515;387756134;38264;0.88100004;0.93700004;0.61;0.9;114;18;33.22981;0.1032182;0.0328616
103730104;473242515;387756134;38264;0.88100004;0.93700004;0.61;0.9;114;18;33.335503;0.10950783;0.026571974
103819908;473242515;387756134;38249;0.882;0.938;0.61;0.9;114;18;33.335503;0.11447046;0.021609344
103929947;473242515;387756134;38249;0.882;0.938;0.61;0.9;114;18;33.042206;0.12160474;0.0144750625
104029949;473242515;387756134;38249;0.882;0.938;0.61;0.9;114;18;33.042206;0.12956196;0.0065178443
104129912;473242515;387756134;38249;0.882;0.938;0.61;0.9;114;18;33.187534;0.13662414;-0.00054434
104229636;473242515;387756134;38249;0.882;0.938;0.61;0.9;114;18;33.187534;0.14216173;-0.0060819234
104329702;473242513;387756133;38224;0.883;0.93900007;0.61;0.9;114;18;32.896877;0.14894985;-0.012870038
104429662;473242513;387756133;38224;0.883;0.93900007;0.61;0.9;114;18;32.896877;0.15416464;-0.018084843
104529323;473242513;387756133;38224;0.883;0.93900007;0.61;0.9;114;18;32.791187;0.15915184;-0.023072034
104629441;473242513;387756133;38224;0.883;0.93900007;0.61;0.9;114;18;32.791187;0.16343172;-0.02735192
104729390;473242513;387756133;38224;0.883;0.93900007;0.61;0.9;114;18;32.999928;0.16960078;-0.033520985
104829194;473242513;387756131;38214;0.88400006;0.94000006;0.61;0.9;114;18;32.999928;0.17512375;-0.039043956
104929052;473242513;387756131;38214;0.88400006;0.94000006;0.61;0.9;114;18;32.854603;0.18008575;-0.044005945
105029099;473242513;387756131;38214;0.88400006;0.94000006;0.61;0.9;114;18;32.854603;0.1852326;-0.049152795
105128828;473242513;387756131;38214;0.88400006;0.94000006;0.61;0.9;114;18;32.97879;0.19090885;-0.054829042
105228805;473242513;387756131;38214;0.88400006;0.94000006;0.61;0.9;114;18;32.97879;0.19730502;-0.061225217
105328834;473242515;387756124;38217;0.88600004;0.94200003;0.61;0.9;114;18;32.854603;0.2037088;-0.06762899
105428564;473242515;387756124;38217;0.88600004;0.94200003;0.61;0.9;114;18;32.854603;0.21030152;-0.07422172
105528726;473242515;387756124;38217;0.88600004;0.94200003;0.61;0.9;114;18;33.063343;0.21590085;-0.07982105
105628599;473242515;387756124;38217;0.88600004;0.94200003;0.61;0.9;114;18;33.063343;0.21974123;-0.083661415
105728432;473242515;387756124;38217;0.88600004;0.94200003;0.61;0.9;114;18;34.00401;0.22340897;-0.087329164
105828299;473242519;387756115;38229;0.887;0.94500005;0.61;0.9;114;18;34.00401;0.23333454;-0.09725473
105928266;473242519;387756115;38229;0.887;0.94500005;0.61;0.9;114;18;32.62472;0.25101358;-0.11493378
106028164;473242519;387756115;38229;0.887;0.94500005;0.61;0.9;114;18;32.62472;0.2726869;-0.1366071
106128040;473242519;387756115;38229;0.887;0.94500005;0.61;0.9;114;18;33.335503;0.2927414;-0.15666158
106227966;473242519;387756115;38229;0.887;0.94500005;0.61;0.9;114;18;33.335503;0.3104345;-0.17435469
106327991;473242533;387756094;38283;0.88900006;0.94900006;0.61;0.9;114;18;32.999928;0.3303399;-0.19426009
106427770;473242533;387756094;38283;0.88900006;0.94900006;0.61;0.9;114;18;32.999928;0.3517635;-0.21568368
106527648;473242533;387756094;38283;0.88900006;0.94900006;0.61;0.9;114;18;33.58388;0.3775015;-0.24142168
106627757;473242533;387756094;38283;0.88900006;0.94900006;0.61;0.9;114;18;33.58388;0.4080717;-0.2719919
106727502;473242533;387756094;38283;0.88900006;0.94900006;0.61;0.9;114;18;33.48083;0.4475106;-0.31143078
106827363;473242544;387756084;38462;0.89100003;0.95100003;0.61;0.9;114;18;33.48083;0.49632484;-0.36024502
106922354;473242544;387756084;38462;0.89100003;0.95100003;0.61;0.9;114;18;33.668434;0.5528761;-0.41679633
107022249;473242544;387756084;38462;0.89100003;0.95100003;0.61;0.9;114;18;33.668434;0.61911005;-0.48303026
107122283;473242544;387756084;38462;0.89100003;0.95100003;0.61;0.9;114;18;33.710712;0.68963844;-0.55355865
107222278;473242544;387756084;38462;0.89100003;0.95100003;0.61;0.9;114;18;33.710712;0.76176363;-0.62568384
107321911;473242556;387756074;38872;0.89500004;0.957;0.61;0.9;114;18;34.10706;0.83843625;-0.70235646
